Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
ORDER TO CEASE AND DESIST,1989-10-13,1993-09-30,THE FARMERS STATE BANK;,0;,N/A;,0;,N/A;,THE FARMERS STATE BANK;,LUDELL;,KS;,22591;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-195b,10013.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51JAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-10-13,,KEOKUK COUNTY STATE BANK;,0;,N/A;,0;,N/A;,KEOKUK COUNTY STATE BANK;,SIGOURNEY;,IA;,12126;,Termination of Action,Cease and Desist / Consent Orders,FDIC-86-136b,15035.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z54bAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-17,1994-10-21,BANK OF LAFAYETTE;,0;,N/A;,0;,N/A;,BANK OF LAFAYETTE;,LAFAYETTE;,LA;,22012;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-116b,10014.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51KAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-27,1992-03-09,FRITCH STATE BANK;,0;,N/A;,0;,N/A;,FRITCH STATE BANK;,FRITCH;,TX;,19427;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-205b,10016.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51MAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-10-27,1993-11-10,REGENT THRIFT AND LOAN ASSOCIATION;,0;,N/A;,0;,N/A;,REGENT THRIFT AND LOAN ASSOCIATION;,SAN FRANCISCO;,CA;,27174;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-200b,10015.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51LAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-10-31,,FIRST BANK;,0;,N/A;,0;,N/A;,FIRST BANK;,COLORADO SPRINGS;,CO;,21263;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-167b,15038.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5GFAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-10-31,,BARNARD STATE BANK;,0;,N/A;,0;,N/A;,BARNARD STATE BANK;,BARNARD;,KS;,4623;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-108b,15036.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4GJAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-11-01,,TEEDS GROVE SAVINGS BANK;,0;,N/A;,0;,N/A;,TEEDS GROVE SAVINGS BANK;,TEEDS GROVE;,IA;,5824;,Termination of Action,Cease and Desist / Consent Orders,FDIC-86-91b,15039.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5GLAA0?operationContext=S1
ORDER TO CEASE AND DESIST,1989-11-01,1994-02-15,HIGHLAND LAKES BANK;,0;,N/A;,0;,N/A;,HIGHLAND LAKES BANK;,KINGSLAND;,TX;,18717;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-182b,10017.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z67jAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-11-02,1992-07-23,ALVARADO BANK;,0;,N/A;,0;,N/A;,ALVARADO BANK;,RICHMOND;,CA;,24568;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-180b,10018.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5FcAAK?operationContext=S1
ORDER TO CEASE AND DESIST,1989-11-07,1990-11-28,FREDONIA STATE BANK;,0;,N/A;,0;,N/A;,FREDONIA STATE BANK;,NACOGDOCHES;,TX;,19067;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-207b,10020.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5GHAA0?operationContext=S1
