Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"Eastern National Bank","15748","","","Miami, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/24/2025","AA-EC-2025-04","","","AA-EC-2025-04","Asset Quality; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Earnings; Insider Issues; Lending Issues; Liquidity; Noncompliance with Enforcement Action; Sensitivity to Market Risk; Strategic Planning"
"Eastern National Bank","15748","","","Miami, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/19/2020","2020-070","04/25/2025","AA-EC-2025-10","AA-EC-2020-46","Audit; BSA Internal Controls; BSA Officer; BSA Program Violation / 12 CFR 21.21; BSA Violation Cited; BSA/AML; Capital; Compensation; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; Information Technology; Insider Issues; Lending Issues; Loan Review; Noncompliance with Enforcement Action; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Eastern National Bank","15748","","","Miami, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/25/2018","2018-081","11/19/2020","2020-072","AA-SO-2018-59","Asset Quality; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA Violation Cited; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Lending Issues; Loan Review; OFAC Compliance Issue; Other Lending Deficiencies; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Eastern Savings Bank, FSB","708183","","","Hunt Valley, MD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/31/2014","2014-030","09/25/2019","2019-057","AA-EC-2019-65","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"Eastside Commercial Bank, National Association","24180","","","Bellevue, WA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/20/2014","2014-031","04/15/2015","","AA-EC-2014-24","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Lending Issues; Liquidity; Problem Loan Identification; Strategic Planning"
"EH National Bank","24493","","","Beverly Hills, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/29/2025","AA-WE-2025-20","06/13/2025","","AA-WE-2025-20","Board / Management Oversight; Capital; Liquidity; Strategic Planning"
"EH National Bank","24493","","","Beverly Hills, CA","FA","Formal Agreement","0.00","10/11/2023","AA-WE-2023-37","04/29/2025","AA-WE-2025-26","AA-WE-2023-37","Capital; Liquidity; Strategic Planning"
"EH National Bank","24493","","","Beverly Hills, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/09/2013","2013-090","06/26/2018","2018-051","AA-EC-2013-42","Asset Quality; Capital; Lending Issues; Problem Loan Identification; Strategic Planning"
"F&M Bank and Trust Company","705608","","","Hannibal, MO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/22/2014","2014-050","01/14/2016","2016-013","AA-CE-2014-31","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Consumer Law; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; Problem Loan Identification; Strategic Planning"
"F&M Bank and Trust Company","705608","","","Hannibal, MO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/28/2012","2012-218","04/22/2014","2014-050","AA-CE-12-106","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Capital; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Fidelity National Bank","16516","","","Medford, WI","FA","Formal Agreement","0.00","05/25/2012","2012-113","11/14/2016","2016-113","","Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Lending Issues; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Fieldpoint Private Bank & Trust","718058","","","Greenwich, CT","FA","Formal Agreement","0.00","11/29/2012","2012-267","09/03/2015","2015-129","AA-NEDO-2012-150","Audit; Board / Management Oversight; Capital; Earnings; Inaccurate / Incomplete / False Books and Records; Internal Audit; Investment/Other than Temporary Impairment; Liquidity; Securities Activities; Sensitivity to Market Risk; Strategic Planning; Trading & Securities"
"First Capital Bank","715575","","","Bennettsville, SC","FA","Formal Agreement","0.00","07/03/2012","2012-193","01/09/2014","2014-011","","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First Federal Bank","703719","","","Lexington, KY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/18/2012","2012-232","04/19/2013","","AA-EC-12-114","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"First Federal Bank Texas","704633","","","Tyler, TX","FA","Formal Agreement","0.00","04/05/2012","2012-102","01/02/2013","","","Allowance for Losses (ALLL / ACL); Capital; Lending Issues; Liquidity; Other Lending Deficiencies"
"First Federal of South Carolina, FSB","706903","","","Walterboro, SC","FA","Formal Agreement","0.00","07/18/2012","2012-171","11/28/2016","2016-118","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"First Federal Savings Bank","702631","","","Ottawa, IL","FA","Formal Agreement","0.00","06/08/2012","2012-137","03/19/2014","2014-041","","Asset Quality; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification"
"First Federal Savings Bank of Kentucky","704381","","","Frankfort, KY","FA","Formal Agreement","0.00","08/13/2024","AA-CE-2024-62","01/13/2026","AA-CE-2026-2","AA-CE-2024-62","Board / Management Oversight; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"First FS & LA of Greensburg","704656","","","Greensburg, IN","FA","Formal Agreement","0.00","07/28/2014","2014-101","03/02/2017","2017-041","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; GLBA (12 CFR 30, Appx B); Information Technology; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Third Party Risk Management"
"First FS & LA of Kewanee","703756","","","Kewanee, IL","FA","Formal Agreement","0.00","01/18/2012","2012-012","09/09/2014","2014-123","","Allowance for Losses (ALLL / ACL); Asset Quality; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Other Lending Deficiencies"
"First FS & LA of Lorain","704171","","","Lorain, OH","FA","Formal Agreement","0.00","02/29/2024","AA-CE-2024-03","","","AA-CE-2024-03","BSA Internal Controls; BSA Officer; BSA Training; BSA/AML; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"First FS&LA of Independence","700391","","","Independence, KS","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/01/2012","2012-056","10/24/2014","2014-151","AA-WE-12-19","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank","7647","","","Chisholm, MN","FA","Formal Agreement","0.00","06/27/2023","2023-022","12/05/2025","","AA-CE-2023-18","Allowance for Losses (ALLL / ACL); Audit; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Flood Insurance; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"First National Bank","21610","","","Waupaca, WI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/17/2014","2014-161","10/27/2017","","AA-EC-2014-114","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Loans to Insiders (incl. Reg O); OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"First National Bank","21610","","","Waupaca, WI","FA","Formal Agreement","0.00","06/07/2013","2013-077","12/17/2014","2014-161","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Concentration Risk Management; Credit/Collateral Exceptions; General IT Controls; Inaccurate / Incomplete / False Books and Records; Information Technology; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification"
"First National Bank","7853","","","Camdenton, MO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/26/2013","2013-057","07/15/2016","2016-072","AA-WE-2013-24","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; BSA/AML; Capital; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; GLBA (12 CFR 30, Appx B); Inaccurate / Incomplete / False Books and Records; Information Technology; Internal Audit; Lending Issues; Loan Review; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"First National Bank","13830","","","Ronceverte, WV","FA","Formal Agreement","0.00","10/01/2012","2012-237","07/10/2014","2014-108","AA-NE-2012-121","Asset Quality; Audit; Board / Management Oversight; Earnings; Internal Audit; Lending Issues; Other Lending Deficiencies"
"First National Bank","10230","","","Paducah, TX","FA","Formal Agreement","0.00","04/16/2012","2012-101","11/12/2014","2014-175","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Inaccurate / Incomplete / False Books and Records; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank","14124","","","Edinburg, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/18/2012","2012-004","09/13/2013","","AA-EC-12-09","Appraisals; Asset Quality; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Training; BSA/AML; Capital; Compensation; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Foreign Exchange (FX); General IT Controls; GLBA (12 CFR 30, Appx B); Inaccurate / Incomplete / False Books and Records; Information Technology; Insider Issues; Lending Issues; Liquidity; Loan Review; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies; Overdrafts; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Third Party Risk Management; Trading & Securities; Trading Issues; Unfair or Deceptive (UDAP)"
"First National Bank","14124","","Dwayne Bair","Edinburg, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/02/2017","2017-075","","","AA-EC-2017-51","Breach of Fiduciary Duty; Capital; Inaccurate / Incomplete / False Books and Records; Lending Issues; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies"
"First National Bank","14124","","Oscar Garza","Edinburg, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/02/2017","2017-076","","","AA-EC-2017-50","Breach of Fiduciary Duty; Capital; Inaccurate / Incomplete / False Books and Records; Lending Issues; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies"
"First National Bank","14124","","Arcadio Guerra","Edinburg, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/02/2017","2017-077","","","AA-EC-2017-48","Breach of Fiduciary Duty; Capital; Inaccurate / Incomplete / False Books and Records; Lending Issues; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies"
"First National Bank","14124","","Jack McClelland","Edinburg, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/02/2017","2017-078","","","AA-EC-2017-49","Breach of Fiduciary Duty; Capital; Inaccurate / Incomplete / False Books and Records; Lending Issues; Noncompliance with Enforcement Action; OREO; Other Lending Deficiencies"
"First National Bank & Trust Company","1926","","","Clinton, IL","FA","Formal Agreement","0.00","07/16/2025","AA-CE-2025-30","","","AA-CE-2025-30","Affiliate Transactions (incl. Reg W); Board / Management Oversight; Capital; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Liquidity; Strategic Planning"
"First National Bank and Trust Co. of Bottineau","8029","","","Bottineau, ND","FA","Formal Agreement","0.00","01/26/2017","2017-019","03/06/2020","2020-021","AA-CE-2020-12","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; GLBA (12 CFR 30, Appx B); Information Technology; Lending Issues; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank in Fairfield","13991","","","Fairfield, IA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/21/2019","2019-066","06/09/2022","","AA-WE-2019-64","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank in Howell","14144","","","Howell, MI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/31/2013","2013-162","11/17/2015","2015-133","AA-EC-2013-83","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank of Lake Jackson","15171","","","Lake Jackson, TX","FA","Formal Agreement","0.00","09/17/2024","AA-SO-2024-70","12/08/2025","AA-SO-2025-62","AA-SO-2024-70","Board / Management Oversight; Capital; Earnings; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"First National Bank of Muscatine","15579","","","Muscatine, IA","FA","Formal Agreement","0.00","06/16/2020","2020-033","06/09/2022","","AA-WE-2020-44","Appraisals; Asset Quality; Board / Management Oversight; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"First National Bank of Pasco","20976","","","Dade City, FL","FA","Formal Agreement","0.00","09/18/2025","AA-SO-2025-46","","","AA-SO-2025-46","Affiliate Transactions (incl. Reg W); Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA SAR Violation / 12 CFR 21.11 or 163.180; BSA Training; BSA Violation Cited; BSA/AML; Capital; Compensation; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"First Scottsdale Bank, National Association","24805","","","Scottsdale, AZ","FA","Formal Agreement","0.00","11/19/2014","2014-145","09/11/2015","","","Allowance for Losses (ALLL / ACL); Audit; Board / Management Oversight; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Flagstar Bank, FSB","708412","","","Troy, MI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/23/2012","2012-230","12/19/2016","2017-073","","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; BSA Independent Testing/Audit; BSA Internal Controls; BSA Risk Assessment; BSA/AML; Capital; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; Flood Insurance; General IT Controls; Information Technology; Internal Audit; Lending Issues; Liquidity; Loan Review; SAR/CTR Monitoring/Filing Issue"
"Flatbush FS & LA","703444","","","Brooklyn, NY","FA","Formal Agreement","0.00","04/12/2012","2012-099","11/02/2012","","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Flood Insurance; Insider Issues; Investment/Other than Temporary Impairment; Lending Issues; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Trading & Securities"
"Flint River National Bank","24505","","","Camilla, GA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/22/2012","2012-093","12/31/2014","","","Asset Quality; Capital; Credit/Collateral Exceptions; Legal Lending Limit; Lending Issues; Other Lending Deficiencies; Strategic Planning"
"Florida Capital Bank, National Association","20214","","","Jacksonville, FL","FA","Formal Agreement","0.00","04/13/2020","2020-024","01/26/2022","2022-003","AA-SO-2020-06","Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Fort Lee Federal Savings Bank, FSB","716832","","","Fort Lee, NJ","PCAD","Prompt Corrective Action (PCA) Directive","0.00","03/15/2012","2012-077","04/20/2012","","AA-EC-12-41","Board / Management Oversight; Capital; Prompt Corrective Action"
"Gateway Bank, F.S.B.","708857","","","Oakland, CA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/12/2020","2020-069","08/26/2025","AA-ENF-2025-47","AA-ENF-2020-69","Audit; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA Pillar Violation / 12 CFR 21.21(d); BSA Risk Assessment; BSA SAR Violation / 12 CFR 21.11 or 163.180; BSA Violation Cited; BSA/AML; Capital; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; Flood Insurance; Inaccurate / Incomplete / False Books and Records; Internal Audit; Lending Issues; Noncompliance with Enforcement Action; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; SCRA/Military Lending Act; Strategic Planning; Unfair or Deceptive (UDAP)"
"Gcf Bank","700940","","","Washington Township, NJ","FA","Formal Agreement","0.00","09/20/2012","2012-252","01/10/2014","","AA-NEDO-2012-123","Audit; Board / Management Oversight; Capital; Earnings; Inaccurate / Incomplete / False Books and Records; Internal Audit; Lending Issues; Liquidity; Other Lending Deficiencies; Strategic Planning"
"Generations Bank","718024","","","Seneca Falls, NY","FA","Formal Agreement","0.00","07/19/2024","AA-NE-2024-68","","","AA-NE-2024-68","Board / Management Oversight; Earnings; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"Gibraltar Bank","704804","","","Oak Ridge, NJ","FA","Formal Agreement","0.00","02/03/2016","2016-023","12/05/2019","2019-070","AA-NE-2019-87","Board / Management Oversight; Strategic Planning"
"Gibraltar Private Bank & Trust Co.","708007","","","Coral Gables, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/16/2014","2014-128","06/26/2017","2017-049","AA-EC-2014-13","Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); External Audit; Noncompliance with Enforcement Action; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"GN Bank","703395","","","Chicago, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","09/18/2020","2020-053","06/30/2025","AA-ENF-2025-39","AA-EC-2020-50","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Insider Issues; Internal Audit; Lending Issues; Loans to Insiders (incl. Reg O); Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Grand Bank, National Association","24268","","","Hamilton, NJ","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/23/2015","2015-123","09/20/2017","2017-093","AA-NE-2015-98","Earnings; Expense Abuse; Insider Issues"
"Greenchoice Bank, FSB","701638","","","Chicago, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/27/2012","2012-156","07/25/2014","","AA-EC-12-75","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Guaranty Bank","717936","","","Milwaukee, WI","PCAD","Prompt Corrective Action (PCA) Directive","0.00","04/01/2014","2014-035","02/28/2017","2017-020","AA-EC-14-33","Prompt Corrective Action; Strategic Planning"
"Harrington Bank, FSB","717910","","","Chapel Hill, NC","FA","Formal Agreement","0.00","12/17/2012","2012-279","06/01/2014","","AA-NE-2012-158","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Inaccurate / Incomplete / False Books and Records; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Violation Cited (Other)"
"Heritage Bank, National Association","15401","","","Spicer, MN","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/02/2024","AA-WE-2024-24","02/11/2026","","AA-WE-2024-24","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Strategic Planning"
"Heritage Bank, National Association","15401","","","Spicer, MN","FA","Formal Agreement","0.00","10/27/2023","2023-033","04/02/2024","AA-WE-2024-36","AA-WE-2023-32","Capital; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Hiawatha National Bank","15698","","","Hager City, WI","FA","Formal Agreement","0.00","10/22/2024","AA-CE-2024-32","02/02/2026","AA-CE-2026-8","AA-CE-2024-32","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Concentration Risk Management; Lending Issues; Liquidity; Loan Review; Problem Loan Identification; Strategic Planning"
"High Desert Bank","718045","","","Bend, OR","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/16/2014","2014-098","06/22/2018","","AA-EC-2014-22","Asset Quality; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Insider Issues; Lending Issues; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning; Third Party Risk Management"
"Home Federal Bank of Hollywood","714725","","","Hallandale Beach, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","07/27/2012","2012-183","11/28/2016","2016-112","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Program Violation / 12 CFR 21.21; BSA Risk Assessment; BSA Training; BSA Violation Cited; BSA/AML; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Lending Issues; Liquidity; Loan Review; Noncompliance with Enforcement Action; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Home FS & LA of Collinsville","700528","","","Collinsville, IL","FA","Formal Agreement","0.00","12/19/2012","2012-280","04/01/2015","2015-040","","Appraisals; Asset Quality; Capital; Credit/Collateral Exceptions; Lending Issues; Other Lending Deficiencies; Problem Loan Identification"
"Home FS&LA of Nebraska","705760","","","Lexington, NE","FA","Formal Agreement","0.00","06/12/2015","2015-070","01/01/2016","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; General IT Controls; Information Technology; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"Home Loan Investment Bank, F.S.B.","712504","","","Warwick, RI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/11/2012","2012-250","05/11/2015","2015-055","AA-NE-2012-146","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Enterprise Governance / Internal Controls / General Risk Management; Foreclosures; Internal Audit; Lending Issues; Liquidity; Other Lending Deficiencies; Strategic Planning"
"Home Savings Bank","701282","","","Jefferson City, MO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/11/2012","2012-094","09/16/2016","","","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Capital; Compensation; Credit/Collateral Exceptions; Insider Issues; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Overdrafts; Problem Loan Identification; Third Party Risk Management"
"Homestead Savings Bank","718109","","","Albion, MI","FA","Formal Agreement","0.00","09/17/2014","2014-118","08/26/2019","2019-053","AA-CE-2019-62","Allowance for Losses (ALLL / ACL); Capital; Earnings; Lending Issues; Strategic Planning"
"Hometown Bank of The Hudson Valley","701472","","","Walden, NY","FA","Formal Agreement","0.00","02/22/2016","2016-024","08/11/2017","","AA-NE-2016-23","Capital"
"Hometown Bank of The Hudson Valley","701472","","","Walden, NY","FA","Formal Agreement","0.00","03/07/2013","2013-033","08/11/2017","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; BSA Internal Controls; BSA/AML; Capital; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification"
"Hopkins Federal Savings Bank","708196","","","Baltimore, MD","FA","Formal Agreement","0.00","04/17/2014","2014-051","07/08/2016","","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Training; BSA/AML; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Investment/Other than Temporary Impairment; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Sensitivity to Market Risk; Strategic Planning; Trading & Securities"
