Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"Southwestern National Bank","23081","","","Houston, TX","FA","Formal Agreement","0.00","02/08/2021","2021-010","08/30/2022","2022-036","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"St Tammany Homestead S & LA","703691","","","Covington, LA","FA","Formal Agreement","0.00","10/23/2012","2012-249","03/27/2015","2015-042","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Sterling Bank and Trust, FSB","708028","","","Southfield, MI","FA","Formal Agreement","0.00","03/19/2012","2012-071","05/30/2013","2013-082","","Asset Quality; Capital; Credit/Collateral Exceptions; Lending Issues; Problem Loan Identification"
"Sterling Federal Bank, F.S.B.","700073","","","Sterling, IL","FA","Formal Agreement","0.00","05/22/2025","AA-CE-2025-22","","","AA-CE-2025-22","Allowance for Losses (ALLL / ACL); Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Summit National Bank","18154","","","Hulett, WY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/04/2024","AA-ENF-2024-31","","","AA-ENF-2024-31","Affiliate Transactions (incl. Reg W); BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Program Violation / 12 CFR 21.21; BSA Risk Assessment; BSA Training; BSA Violation Cited; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Inaccurate / Incomplete / False Books and Records; Liquidity; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"Summit National Bank","18154","","","Hulett, WY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/05/2012","2012-128","10/08/2015","2015-120","AA-WE-12-55","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Lending Issues; Loan Review; Loans to Insiders (incl. Reg O); OREO; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Texas Citizens Bank, National Association","24640","","","Pasadena, TX","FA","Formal Agreement","0.00","12/18/2019","2019-072","10/18/2021","2021-050","AA-SO-2019-90","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Texas Heritage National Bank","4701","","","Daingerfield, TX","FA","Formal Agreement","0.00","05/08/2025","AA-SO-2025-32","","","AA-SO-2025-32","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"The Bank of Maine","706947","","","Portland, ME","FA","Formal Agreement","0.00","06/21/2012","2012-167","10/14/2014","2014-167","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Compliance Risk Management; Consumer Law; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The Baraboo National Bank","14397","","","Baraboo, WI","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/09/2013","2013-004","11/30/2016","2016-119","AA-EC-13-3","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Earnings; Lending Issues; Loan Review; Noncompliance with Enforcement Action; OREO; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
